Locality,Dataset,Generalist_0,Low_Specialist_1,Moderate_Specialist_2,High_Specialist_3,Total_Specialists,Total_Species
PKV_B,Smyk Method,4,4,1,0,5,9
RTR_A,Smyk Method,5,3,2,0,5,10
RTR_B,Smyk Method,6,2,0,0,2,8
STR_A,Smyk Method,6,4,2,0,6,12
STR_B,Smyk Method,8,3,1,0,4,12
SVD_A,Smyk Method,7,1,1,0,2,9
SVD_B,Smyk Method,10,1,2,0,3,13
SFR_A,Smyk Method,8,4,1,1,6,14
SFR_B,Smyk Method,6,3,1,0,4,10
VLS_A,Smyk Method,6,1,2,0,3,9
VLS_B,Smyk Method,4,0,2,0,2,6
VRJ_A,Smyk Method,8,2,2,0,4,12
VRJ_B,Smyk Method,4,3,1,0,4,8
ZHJ_A,Smyk Method,5,3,2,0,5,10
ZHJ_B,Smyk Method,7,4,1,0,5,12
ZLM_A,Smyk Method,8,2,4,0,6,14
ZLM_B,Smyk Method,5,5,2,0,7,12
ZMB_A,Smyk Method,6,4,2,1,7,13
ZMB_B,Smyk Method,2,1,2,0,3,5
ZMK_A,Smyk Method,14,1,1,0,2,16
ZMK_B,Smyk Method,4,3,1,0,4,8
BBN_A,Pasti Method,2,4,8,0,12,14
BBN_B,Pasti Method,4,7,7,0,14,18
BHN_A,Pasti Method,3,6,8,0,14,17
BHN_B,Pasti Method,5,7,8,0,15,20
BZN_A,Pasti Method,2,2,4,0,6,8
BZN_B,Pasti Method,0,2,10,0,12,12
BRK_A,Pasti Method,5,4,5,0,9,14
BRK_B,Pasti Method,4,6,4,0,10,14
DVR_A,Pasti Method,4,2,5,0,7,11
DVR_B,Pasti Method,4,3,6,1,10,14
HLN_A,Pasti Method,2,4,6,1,11,13
HLN_B,Pasti Method,1,4,3,0,7,8
HVZ_A,Pasti Method,6,4,9,1,14,20
HVZ_B,Pasti Method,8,9,4,2,15,23
HRD_A,Pasti Method,2,6,10,1,17,19
HRD_B,Pasti Method,2,7,10,0,17,19
HRC_A,Pasti Method,0,3,13,0,16,16
HRC_B,Pasti Method,3,5,6,1,12,15
CHV_A,Pasti Method,1,8,6,1,15,16
CHV_B,Pasti Method,6,8,12,1,21,27
KLS_A,Pasti Method,1,7,8,0,15,16
KLS_B,Pasti Method,1,6,6,0,12,13
KCD_A,Pasti Method,2,6,4,0,10,12
KCD_B,Pasti Method,4,9,1,0,10,14
KKL_A,Pasti Method,2,6,7,0,13,15
KKL_B,Pasti Method,1,6,7,1,14,15
LCL_A,Pasti Method,2,6,11,0,17,19
LCL_B,Pasti Method,1,5,9,0,14,15
LVJ_A,Pasti Method,5,4,7,0,11,16
LVJ_B,Pasti Method,0,7,11,0,18,18
NSV_A,Pasti Method,2,5,12,0,17,19
NSV_B,Pasti Method,1,5,7,0,12,13
OKL_A,Pasti Method,2,6,7,0,13,15
OKL_B,Pasti Method,1,8,9,0,17,18
NVS_A,Pasti Method,2,2,2,0,4,6
NVS_B,Pasti Method,0,2,4,0,6,6
PRZ_A,Pasti Method,2,6,12,0,18,20
PRZ_B,Pasti Method,0,4,8,0,12,12
PKV_A,Pasti Method,3,7,12,1,20,23
PKV_B,Pasti Method,3,4,3,0,7,10
RTR_A,Pasti Method,6,5,3,1,9,15
RTR_B,Pasti Method,2,5,2,0,7,9
STR_A,Pasti Method,1,2,9,0,11,12
STR_B,Pasti Method,4,4,14,2,20,24
SVD_A,Pasti Method,4,7,8,0,15,19
SVD_B,Pasti Method,2,5,6,0,11,13
SFR_A,Pasti Method,2,5,10,0,15,17
SFR_B,Pasti Method,3,6,6,0,12,15
VLS_A,Pasti Method,2,6,9,0,15,17
VLS_B,Pasti Method,3,7,10,0,17,20
VRJ_A,Pasti Method,2,9,7,0,16,18
VRJ_B,Pasti Method,3,6,1,0,7,10
ZHJ_A,Pasti Method,2,4,11,0,15,17
ZHJ_B,Pasti Method,2,4,8,0,12,14
ZLM_A,Pasti Method,2,3,6,0,9,11
ZLM_B,Pasti Method,3,6,2,0,8,11
ZMB_A,Pasti Method,3,4,6,0,10,13
ZMB_B,Pasti Method,4,2,6,0,8,12
ZMK_A,Pasti Method,5,6,4,1,11,16
ZMK_B,Pasti Method,6,5,7,1,13,19
BBN_A,Kveten Month,5,4,8,0,12,17
BBN_B,Kveten Month,6,9,6,0,15,21
BHN_A,Kveten Month,7,6,5,0,11,18
BHN_B,Kveten Month,8,8,9,0,17,25
BZN_A,Kveten Month,2,0,4,0,4,6
BZN_B,Kveten Month,4,2,7,0,9,13
BRK_A,Kveten Month,6,5,4,0,9,15
BRK_B,Kveten Month,8,3,5,0,8,16
DVR_A,Kveten Month,6,2,6,0,8,14
DVR_B,Kveten Month,6,4,5,1,10,16
HLN_A,Kveten Month,8,4,9,1,14,22
HLN_B,Kveten Month,2,4,4,0,8,10
HVZ_A,Kveten Month,6,5,6,1,12,18
HVZ_B,Kveten Month,10,11,3,2,16,26
HRD_A,Kveten Month,3,6,8,0,14,17
HRD_B,Kveten Month,5,5,10,0,15,20
HRC_A,Kveten Month,2,3,8,0,11,13
HRC_B,Kveten Month,4,2,7,0,9,13
CHV_A,Kveten Month,7,5,6,1,12,19
CHV_B,Kveten Month,9,7,9,1,17,26
KLS_A,Kveten Month,3,4,7,0,11,14
