Species,Family,Specialization,Specialization_words,Disperzal,Protection_Status,Short_name
Argiope bruennichi,Araneidae,0,Non-Wetland,1,NO,ArgBru
Attulus pubescens,Salticidae,0,Non-Wetland,1,NO,AttPub
Aulonia albimana,Lycosidae,0,Non-Wetland,1,NO,AulAlb
Callobius claustrarius,Linyphiidae,0,Non-Wetland,0,NO,CalCla
Ceratinella brevis,Linyphiidae,0,Non-Wetland,2,NO,CerBrs
Cicurina cicur,Cicurinidae,0,Non-Wetland,0,NO,CicCic
Clubiona lutescens,Clubionidae,0,Non-Wetland,0,NO,CluLut
Cyclosa conica,Araneidae,0,Non-Wetland,1,NO,CycCon
Diaea dorsata,Thomisidae,0,Non-Wetland,1,NO,DiaDor
Dictyna arundinacea,Dictynidae,0,Non-Wetland,1,NO,DicAru
Dictyna pusilla,Dictynidae,0,Non-Wetland,1,NO,DicPus
Diplostyla concolor,Linyphiidae,0,Non-Wetland,2,NO,DipCon
Dipoena melanogaster,Theridiidae,0,Non-Wetland,1,NO,DipMel
Drassodes pubescens,Gnaphosidae,0,Non-Wetland,1,NO,DraPub
Drassyllus pusillus,Gnaphosidae,0,Non-Wetland,1,NO,DraPus
Enoplognatha ovata,Theridiidae,0,Non-Wetland,1,NO,EnoOva
Entelecara congenera,Linyphiidae,0,Non-Wetland,2,NO,EntCon
Entelecara flavipes,Linyphiidae,0,Non-Wetland,2,O,EntFla
Erigone atra,Linyphiidae,0,Non-Wetland,2,NO,EriAtr
Erigone dentipalpis,Linyphiidae,0,Non-Wetland,2,NO,EriDen
Euophrys frontalis,Salticidae,0,Non-Wetland,1,NO,EuoFro
Evarcha arcuata,Araneidae,0,Non-Wetland,1,NO,EvaArc
Evarcha falcata,Araneidae,0,Non-Wetland,1,NO,EvaFal
Gibbaranea gibbosa,Araneidae,0,Non-Wetland,1,O,GibGib
Gongylidiellum latebricola,Linyphiidae,0,Non-Wetland,2,NO,GonLat
Hahnia pusilla,Hahniidae,0,Non-Wetland,1,NO,HahPus
Harpactea lepida,Dysderidae,0,Non-Wetland,1,NO,HarLep
Heliophanus cupreus,Araneidae,0,Non-Wetland,1,NO,HelCup
Heliophanus flavipes,Araneidae,0,Non-Wetland,1,NO,HelFla
Lasaeola tristis,Theridiidae,0,Non-Wetland,1,TO,LasTri
Lathys humilis,Dictynidae,0,Non-Wetland,1,O,LatHum
Linyphia hortensis,Linyphiidae,0,Non-Wetland,1,NO,LinHor
Linyphia triangularis,Linyphiidae,0,Non-Wetland,1,NO,LinTri
Mangora acalypha,Araneidae,0,Non-Wetland,1,NO,ManAca
Maso sundevalli,Linyphiidae,0,Non-Wetland,2,NO,MasSun
Metellina mengei,Tetragnathidae,0,Non-Wetland,1,NO,MetMen
Micaria pulicaria,Gnaphosidae,0,Non-Wetland,1,NO,MicPul
Micrargus herbigradus,Linyphiidae,0,Non-Wetland,2,NO,MicHer
Microlinyphia pusilla,Linyphiidae,0,Non-Wetland,1,NO,MicPus
Micrommata virescens,Sparassidae,0,Non-Wetland,0,NO,MicVir
Misumena vatia,Thomisidae,0,Non-Wetland,0,NO,MisVat
Neottiura bimaculata,Linyphiidae,0,Non-Wetland,2,NO,NeoBim
Neriene radiata,Linyphiidae,0,Non-Wetland,1,NO,NerRad
Nusoncus nasutus,Linyphiidae,0,Non-Wetland,2,NO,NusNas
Obscuriphantes obscurus,Linyphiidae,0,Non-Wetland,2,NO,ObsObs
Ozyptila claveata,Thomisidae,0,Non-Wetland,0,TO,OzyCla
Ozyptila praticola,Thomisidae,0,Non-Wetland,0,NO,OzyPra
Ozyptila scabricula,Thomisidae,0,Non-Wetland,0,O,OzySca
Pachygnatha degerii,Tetragnathidae,0,Non-Wetland,1,NO,PacDeg
Paidiscura pallens,Linyphiidae,0,Non-Wetland,2,NO,PaiPal
